Tarih,Saat,Saat_Tam,Dakika,Cagri_Kat,Asansor_Kat,Hedef_Kat,Kat_Mesafesi,Secilen_Asansor,Bekleme_Saniye,Toplam_Yolcu,Asansor_Durum
2026-03-24,00:00:40,0,0,14,8,-1,6,Asansör 1,0,0,Idle
2026-03-24,00:00:42,0,0,15,10,-1,5,Asansör 1,0,0,MovingUp
2026-03-24,00:00:22,0,0,10,9,16,6,Asansör 2,23,0,Completed
2026-03-24,00:00:40,0,0,14,8,-1,6,Asansör 1,8,0,PickedUp
2026-03-24,00:00:42,0,0,15,10,-1,5,Asansör 1,13,1,PickedUp
2026-03-24,00:00:40,0,0,14,8,12,2,Asansör 1,24,1,Completed
2026-03-24,00:01:09,0,1,17,16,-1,1,Asansör 2,0,0,Idle
2026-03-24,00:01:09,0,1,17,16,-1,1,Asansör 2,3,0,PickedUp
2026-03-24,00:00:42,0,0,15,10,3,12,Asansör 1,35,0,Completed
2026-03-24,00:01:09,0,1,17,16,19,2,Asansör 2,11,0,Completed
2026-03-24,00:01:25,0,1,16,19,-1,3,Asansör 2,0,0,Idle
2026-03-24,00:01:25,0,1,16,19,-1,3,Asansör 2,5,0,PickedUp
2026-03-24,00:01:31,0,1,6,3,-1,3,Asansör 1,0,0,Idle
2026-03-24,00:01:36,0,1,3,16,-1,13,Asansör 2,0,1,MovingDown
2026-03-24,00:01:31,0,1,6,3,-1,3,Asansör 1,5,0,PickedUp
2026-03-24,00:01:43,0,1,10,7,-1,3,Asansör 1,0,1,MovingUp
2026-03-24,00:01:25,0,1,16,19,9,7,Asansör 2,19,0,Completed
2026-03-24,00:01:46,0,1,2,8,-1,6,Asansör 1,0,1,WaitingForPassenger
2026-03-24,00:01:31,0,1,6,3,8,2,Asansör 1,15,0,Completed
2026-03-24,00:01:43,0,1,10,7,-1,3,Asansör 1,8,0,PickedUp
2026-03-24,00:01:36,0,1,3,16,-1,13,Asansör 2,18,0,PickedUp
2026-03-24,00:01:43,0,1,10,7,8,2,Asansör 1,18,0,Completed
2026-03-24,00:01:46,0,1,2,8,-1,6,Asansör 1,26,0,PickedUp
2026-03-24,00:01:46,0,1,2,8,-1,6,Asansör 1,26,1,PickedUp
2026-03-24,00:01:36,0,1,3,16,13,10,Asansör 2,36,0,Completed
2026-03-24,00:02:26,0,2,4,13,-1,9,Asansör 2,0,0,Idle
2026-03-24,00:02:27,0,2,5,12,-1,7,Asansör 2,0,0,MovingDown
2026-03-24,00:02:28,0,2,6,11,-1,5,Asansör 2,0,0,MovingDown
2026-03-24,00:01:46,0,1,2,8,15,13,Asansör 1,47,1,Completed
2026-03-24,00:01:46,0,1,2,8,15,13,Asansör 1,47,0,Completed
2026-03-24,00:02:28,0,2,6,11,-1,5,Asansör 2,7,0,PickedUp
2026-03-24,00:02:28,0,2,6,11,-1,5,Asansör 2,7,1,PickedUp
2026-03-24,00:02:27,0,2,5,12,-1,7,Asansör 2,18,2,PickedUp
2026-03-24,00:02:26,0,2,4,13,-1,9,Asansör 2,33,3,PickedUp
2026-03-24,00:02:26,0,2,4,13,8,4,Asansör 2,42,3,Completed
2026-03-24,00:02:28,0,2,6,11,12,6,Asansör 2,48,2,Completed
2026-03-24,00:02:28,0,2,6,11,12,6,Asansör 2,48,1,Completed
2026-03-24,00:02:27,0,2,5,12,19,14,Asansör 2,61,0,Completed
2026-03-24,00:03:34,0,3,7,19,-1,12,Asansör 2,0,0,Idle
2026-03-24,00:03:35,0,3,6,15,-1,9,Asansör 1,0,0,MovingDown
2026-03-24,00:03:39,0,3,14,15,-1,1,Asansör 2,0,0,MovingDown
2026-03-24,00:03:46,0,3,15,7,-1,8,Asansör 2,0,0,DoorOpening
2026-03-24,00:03:35,0,3,6,15,-1,9,Asansör 1,11,0,PickedUp
2026-03-24,00:03:34,0,3,7,19,-1,12,Asansör 2,14,0,PickedUp
2026-03-24,00:03:34,0,3,7,19,5,2,Asansör 2,22,0,Completed
2026-03-24,00:03:35,0,3,6,15,12,6,Asansör 1,23,0,Completed
2026-03-24,00:04:03,0,4,10,12,-1,2,Asansör 1,0,0,Idle
2026-03-24,00:04:03,0,4,10,12,-1,2,Asansör 1,4,0,PickedUp
2026-03-24,00:03:39,0,3,14,15,-1,1,Asansör 2,31,0,PickedUp
2026-03-24,00:04:03,0,4,10,12,13,3,Asansör 1,13,0,Completed
2026-03-24,00:03:39,0,3,14,15,15,1,Asansör 2,39,0,Completed
2026-03-24,00:03:46,0,3,15,7,-1,8,Asansör 2,33,0,PickedUp
2026-03-24,00:03:46,0,3,15,7,11,4,Asansör 2,43,0,Completed
2026-03-24,00:04:35,0,4,11,11,-1,0,Asansör 2,0,0,Idle
2026-03-24,00:04:35,0,4,11,11,-1,0,Asansör 2,2,0,PickedUp
2026-03-24,00:04:38,0,4,15,13,-1,2,Asansör 1,0,0,Idle
2026-03-24,00:04:38,0,4,15,13,-1,2,Asansör 1,4,0,PickedUp
2026-03-24,00:04:35,0,4,11,11,8,3,Asansör 2,11,0,Completed
2026-03-24,00:04:38,0,4,15,13,11,4,Asansör 1,15,0,Completed
2026-03-24,00:04:59,0,4,13,11,-1,2,Asansör 1,0,0,Idle
2026-03-24,00:05:00,0,5,16,8,-1,8,Asansör 2,0,0,Idle
2026-03-24,00:05:01,0,5,17,12,-1,5,Asansör 1,0,0,MovingUp
2026-03-24,00:04:59,0,4,13,11,-1,2,Asansör 1,4,0,PickedUp
2026-03-24,00:05:00,0,5,13,11,-1,2,Asansör 1,4,1,PickedUp
2026-03-24,00:05:06,0,5,13,13,0,13,ACİL DURUM - Asansör 1,0,2,Emergency_Triggered_Floor13_Passengers2
2026-03-24,00:05:06,0,5,13,13,0,13,ACİL DURUM - Asansör 2,0,0,Emergency_Triggered_Floor13_Passengers0
2026-03-24,00:05:06,0,5,0,0,0,13,ACİL DURUM - Asansör 1,9,0,Emergency_Completed_Duration9s
2026-03-24,00:05:06,0,5,0,0,0,13,ACİL DURUM - Asansör 2,9,0,Emergency_Completed_Duration9s
2026-04-26,08:00:00,8,0,13,0,-1,13,Asansör 1,0,0,Idle
2026-04-26,08:00:00,8,0,13,0,-1,13,Asansör 1,16,0,PickedUp
2026-04-26,00:00:24,0,0,6,0,-1,6,Asansör 2,0,0,Idle
2026-04-26,00:00:24,0,0,6,0,-1,6,Asansör 2,8,0,PickedUp
2026-04-26,08:00:00,8,0,13,0,10,3,Asansör 1,35,0,Completed
2026-04-26,00:00:24,0,0,6,0,0,6,Asansör 2,27,0,Completed
2026-04-26,00:01:15,0,1,13,0,-1,13,Asansör 2,0,0,Idle
2026-04-26,00:01:15,0,1,13,0,-1,13,Asansör 2,15,0,PickedUp
2026-04-26,00:01:50,0,1,5,10,-1,5,Asansör 1,0,0,MovingDown
2026-04-26,00:01:15,0,1,13,0,19,6,Asansör 2,40,0,Completed
2026-04-26,00:01:50,0,1,5,10,-1,5,Asansör 1,7,0,PickedUp
2026-04-26,00:01:50,0,1,5,10,8,3,Asansör 1,27,0,Completed
2026-04-29,08:00:00,8,0,19,0,-1,19,Asansör 1,0,0,Idle
2026-04-29,08:00:00,8,0,19,0,-1,19,Asansör 1,23,0,PickedUp
2026-04-29,00:00:34,0,0,16,0,-1,16,Asansör 2,0,0,Idle
2026-04-29,00:00:38,0,0,19,4,0,19,ACİL DURUM - Asansör 1,0,1,Emergency_Triggered_Floor19_Passengers1
2026-04-29,00:00:38,0,0,4,19,0,4,ACİL DURUM - Asansör 2,0,0,Emergency_Triggered_Floor4_Passengers0
2026-04-29,08:00:00,8,0,6,0,-1,6,Asansör 1,0,0,Idle
2026-04-29,08:00:00,8,0,6,0,-1,6,Asansör 1,9,0,PickedUp
2026-04-29,00:00:20,0,0,8,0,-1,8,Asansör 2,0,0,Idle
2026-04-29,00:00:20,0,0,8,0,-1,8,Asansör 2,10,0,PickedUp
2026-05-05,08:00:00,8,0,18,0,-1,18,Asansör 1,0,0,Idle
2026-05-05,08:00:00,8,0,18,0,-1,18,Asansör 1,23,0,PickedUp
2026-05-05,08:00:00,8,0,18,0,15,3,Asansör 1,38,0,Completed
2026-05-05,00:00:53,0,0,11,15,-1,4,Asansör 1,0,0,Idle
2026-05-05,00:00:53,0,0,11,15,-1,4,Asansör 1,6,0,PickedUp
2026-05-05,00:01:06,0,1,3,0,-1,3,Asansör 2,0,0,Idle
2026-05-05,00:00:53,0,0,11,15,14,3,Asansör 1,18,0,Completed
2026-05-05,00:01:06,0,1,3,0,-1,3,Asansör 2,5,0,PickedUp
2026-05-05,00:01:07,0,1,3,0,-1,3,Asansör 2,5,1,PickedUp
2026-05-05,00:01:06,0,1,3,0,14,11,Asansör 2,27,1,Completed
2026-05-05,00:01:07,0,1,3,0,14,11,Asansör 2,27,0,Completed
2026-05-05,00:02:17,0,2,20,14,-1,6,Asansör 1,0,0,MovingDown
2026-05-05,00:02:17,0,2,20,14,-1,6,Asansör 1,8,0,PickedUp
2026-05-05,00:02:17,0,2,20,14,17,3,Asansör 1,23,0,Completed
2026-05-05,00:03:02,0,3,17,14,0,17,ACİL DURUM - Asansör 1,0,0,Emergency_Triggered_Floor17_Passengers0
2026-05-05,00:03:02,0,3,14,17,0,14,ACİL DURUM - Asansör 2,0,0,Emergency_Triggered_Floor14_Passengers0
2026-05-05,00:03:02,0,3,0,0,0,17,ACİL DURUM - Asansör 1,11,0,Emergency_Completed_Duration11s
2026-05-05,00:03:02,0,3,0,0,0,14,ACİL DURUM - Asansör 2,11,0,Emergency_Completed_Duration11s
2026-05-10,08:00:00,8,0,14,0,-1,14,Asansör 1,0,0,Idle
2026-05-10,08:00:00,8,0,14,0,-1,14,Asansör 1,17,0,PickedUp
2026-05-10,08:00:00,8,0,13,0,-1,13,Asansör 1,0,0,Idle
2026-05-10,08:00:00,8,0,13,0,-1,13,Asansör 1,16,0,PickedUp
2026-05-10,08:00:00,8,0,13,0,7,6,Asansör 1,28,0,Completed
2026-05-10,08:00:00,8,0,18,0,-1,18,Asansör 1,0,0,Idle
2026-05-10,08:00:00,8,0,18,0,-1,18,Asansör 1,20,0,PickedUp
2026-05-10,08:00:00,8,0,18,0,9,9,Asansör 1,50,0,Completed
2026-05-10,08:00:00,8,0,14,0,-1,14,Asansör 1,0,0,Idle
2026-05-10,08:00:00,8,0,14,0,-1,14,Asansör 1,17,0,PickedUp
2026-05-10,08:00:00,8,0,7,0,-1,7,Asansör 1,0,0,Idle
2026-05-10,08:00:00,8,0,7,0,-1,7,Asansör 1,9,0,PickedUp
2026-05-10,08:00:00,8,0,7,0,15,8,Asansör 1,24,0,Completed
2026-05-10,00:01:01,0,1,8,0,-1,8,Asansör 2,0,0,Idle
2026-05-10,00:01:09,0,1,4,15,-1,11,Asansör 1,0,0,MovingDown
2026-05-10,00:01:01,0,1,8,0,-1,8,Asansör 2,10,0,PickedUp
2026-05-10,00:01:09,0,1,4,15,-1,11,Asansör 1,13,0,PickedUp
2026-05-10,00:01:01,0,1,8,0,14,6,Asansör 2,23,0,Completed
2026-05-10,00:01:09,0,1,4,15,8,4,Asansör 1,25,0,Completed
2026-05-10,00:01:47,0,1,10,8,-1,2,Asansör 1,0,0,Idle
2026-05-10,00:01:47,0,1,10,8,-1,2,Asansör 1,4,0,PickedUp
2026-05-10,00:01:47,0,1,10,8,-1,2,Asansör 1,4,1,PickedUp
2026-05-10,00:01:47,0,1,10,8,12,2,Asansör 1,14,1,Completed
2026-05-10,00:01:47,0,1,10,8,19,9,Asansör 1,25,0,Completed
2026-05-11,08:00:00,8,0,6,0,-1,6,Asansör 1,0,0,Idle
2026-05-11,08:00:00,8,0,6,0,-1,6,Asansör 1,8,0,PickedUp
2026-05-11,08:00:00,8,0,6,0,5,1,Asansör 1,18,0,Completed
2026-05-11,00:00:22,0,0,8,5,-1,3,Asansör 1,0,0,Idle
2026-05-11,00:00:23,0,0,9,0,-1,9,Asansör 2,0,0,Idle
2026-05-11,00:00:24,0,0,4,0,-1,4,Asansör 2,0,0,MovingUp
2026-05-11,00:00:25,0,0,2,1,-1,1,Asansör 2,0,0,MovingUp
2026-05-11,00:00:22,0,0,8,5,-1,3,Asansör 1,5,0,PickedUp
2026-05-11,00:00:24,0,0,4,0,-1,4,Asansör 2,5,0,PickedUp
2026-05-11,00:00:25,0,0,2,1,-1,1,Asansör 2,14,1,PickedUp
2026-05-11,00:00:22,0,0,8,5,12,4,Asansör 1,17,0,Completed
2026-05-11,00:00:24,0,0,4,0,9,5,Asansör 2,31,1,Completed
2026-05-11,00:00:25,0,0,2,1,9,7,Asansör 2,30,0,Completed
2026-05-11,00:00:23,0,0,9,0,-1,9,Asansör 2,34,0,PickedUp
2026-05-11,00:00:23,0,0,9,0,7,2,Asansör 2,49,0,Completed
2026-05-15,08:27:00,8,27,3,0,-1,3,Asansör 1,0,0,Idle
2026-05-15,08:33:00,8,33,3,0,-1,3,Asansör 1,6,0,PickedUp
2026-05-15,08:48:00,8,48,3,0,9,6,Asansör 1,21,0,Completed
2026-05-15,08:54:00,8,54,11,9,-1,2,Asansör 1,0,0,Idle
2026-05-15,08:59:00,8,59,11,9,-1,2,Asansör 1,4,0,PickedUp
2026-05-15,09:34:00,9,34,10,11,-1,1,Asansör 1,0,0,Idle
2026-05-15,09:37:00,9,37,10,11,-1,1,Asansör 1,3,0,PickedUp
2026-05-15,08:12:00,8,12,4,0,-1,4,Asansör 1,0,0,Idle
2026-05-15,08:19:00,8,19,4,0,-1,4,Asansör 1,6,0,PickedUp
2026-05-15,09:24:00,9,24,3,0,-1,3,Asansör 2,0,0,Idle
2026-05-15,09:29:00,9,29,6,4,-1,2,Asansör 1,0,0,MovingDown
2026-05-15,09:29:00,9,29,3,0,-1,3,Asansör 2,5,0,PickedUp
2026-05-15,09:30:00,9,30,7,5,-1,2,Asansör 1,0,0,MovingUp
2026-05-15,09:34:00,9,34,6,4,-1,2,Asansör 1,4,0,PickedUp
2026-05-15,09:41:00,9,41,7,5,-1,2,Asansör 1,10,1,PickedUp
2026-05-15,09:42:00,9,42,3,0,8,5,Asansör 2,18,0,Completed
2026-05-15,09:53:00,9,53,1,8,-1,7,Asansör 2,0,0,Idle
2026-05-15,09:55:00,9,55,7,5,6,1,Asansör 1,24,1,Completed
2026-05-15,09:57:00,9,57,16,7,-1,9,Asansör 1,0,1,MovingUp
2026-05-15,10:02:00,10,2,1,8,-1,7,Asansör 2,9,0,PickedUp
2026-05-15,10:04:00,10,4,6,4,11,5,Asansör 1,35,0,Completed
2026-05-15,10:12:00,10,12,16,7,-1,9,Asansör 1,15,0,PickedUp
2026-05-15,10:22:00,10,22,11,4,-1,7,Asansör 2,0,1,MovingUp
2026-05-15,10:28:00,10,28,16,7,8,8,Asansör 1,31,0,Completed
2026-05-15,10:32:00,10,32,11,4,-1,7,Asansör 2,9,1,PickedUp
2026-05-15,10:41:00,10,41,1,8,13,12,Asansör 2,49,1,Completed
2026-05-15,10:49:00,10,49,11,4,17,6,Asansör 2,26,0,Completed
2026-05-15,10:50:00,10,50,10,8,-1,2,Asansör 1,0,0,Idle
2026-05-15,10:55:00,10,55,10,8,-1,2,Asansör 1,4,0,PickedUp
2026-05-15,11:00:00,11,0,12,17,-1,5,Asansör 2,0,0,Idle
2026-05-15,11:06:00,11,6,10,8,13,3,Asansör 1,15,0,Completed
2026-05-15,11:08:00,11,8,12,17,-1,5,Asansör 2,7,0,PickedUp
2026-05-15,11:26:00,11,26,12,17,4,8,Asansör 2,25,0,Completed
2026-05-16,08:06:00,8,6,1,0,-1,1,Asansör 1,0,0,Idle
2026-05-16,08:10:00,8,10,1,0,-1,1,Asansör 1,3,0,PickedUp
2026-05-16,08:53:00,8,53,2,1,-1,1,Asansör 1,0,0,Idle
2026-05-16,08:57:00,8,57,2,1,-1,1,Asansör 1,3,0,PickedUp
2026-05-16,09:10:00,9,10,2,1,0,2,Asansör 1,16,0,Completed
2026-05-16,14:28:00,14,28,1,0,-1,1,Asansör 1,0,0,Idle
2026-05-16,14:31:00,14,31,1,0,-1,1,Asansör 1,3,0,PickedUp
2026-05-16,14:38:00,14,38,1,0,0,1,Asansör 1,10,0,Completed
2026-05-24,08:12:00,8,12,4,6,-1,2,Asansör 1,0,0,Idle
2026-05-24,08:13:00,8,13,4,6,-1,2,Asansör 1,4,0,PickedUp
2026-05-24,08:14:00,8,14,0,0,-1,0,Asansör 2,0,0,Idle
2026-05-24,08:15:00,8,15,0,0,-1,0,Asansör 2,2,0,PickedUp
2026-05-24,08:15:00,8,15,4,6,0,4,Asansör 1,14,0,Completed
2026-05-24,08:17:00,8,17,0,0,2,2,Asansör 2,11,0,Completed
2026-05-24,08:18:00,8,18,0,0,-1,0,Asansör 2,17,0,PickedUp
2026-05-24,08:18:00,8,18,0,0,-1,0,Asansör 2,17,1,PickedUp
2026-05-24,08:21:00,8,21,0,0,1,1,Asansör 2,27,1,Completed
2026-05-24,08:21:00,8,21,0,0,1,1,Asansör 2,27,0,Completed
2026-05-24,08:05:00,8,5,13,8,-1,5,Asansör 1,0,0,Idle
2026-05-24,08:07:00,8,7,13,8,-1,5,Asansör 1,7,0,PickedUp
2026-05-24,00:10:00,0,10,13,8,0,13,Asansör 1,26,0,Completed
